dataset,strategy,tp,fp,tn,fn,support
octmnist,egl_fc,3254,132,1118,496,5000
octmnist,entropy,3270,101,1149,480,5000
octmnist,entropy_diverse,3326,143,1107,424,5000
octmnist,mc_bald,3257,98,1152,493,5000
octmnist,mc_bald_diverse,3233,128,1122,517,5000
octmnist,random,3168,121,1129,582,5000
pathmnist,egl_fc,8866,2024,16506,1099,28495
pathmnist,entropy,8883,1815,16715,1082,28495
pathmnist,entropy_diverse,9050,2292,16238,915,28495
pathmnist,mc_bald,9105,2218,16312,860,28495
pathmnist,mc_bald_diverse,9063,2111,16419,902,28495
pathmnist,random,8807,1970,16560,1158,28495
pneumoniamnist,egl_fc,1930,389,781,20,3120
pneumoniamnist,entropy,1930,404,766,20,3120
pneumoniamnist,entropy_diverse,1938,418,752,12,3120
pneumoniamnist,mc_bald,1934,419,751,16,3120
pneumoniamnist,mc_bald_diverse,1924,384,786,26,3120
pneumoniamnist,random,1927,394,776,23,3120
