dataset,strategy,metric,supervised_val_baseline,reached,first_labeled_count,first_step,first_mean_metric
octmnist,egl_fc,acc,0.9416,False,,,
octmnist,egl_fc,f1_macro,0.9415,False,,,
octmnist,egl_fc,auc,0.9839,False,,,
octmnist,egl_fc,ap,0.9884,False,,,
octmnist,entropy,acc,0.9416,True,30390.0,31.0,0.9441
octmnist,entropy,f1_macro,0.9415,True,30390.0,31.0,0.944
octmnist,entropy,auc,0.9839,False,,,
octmnist,entropy,ap,0.9884,False,,,
octmnist,entropy_diverse,acc,0.9416,False,,,
octmnist,entropy_diverse,f1_macro,0.9415,False,,,
octmnist,entropy_diverse,auc,0.9839,False,,,
octmnist,entropy_diverse,ap,0.9884,False,,,
octmnist,mc_bald,acc,0.9416,False,,,
octmnist,mc_bald,f1_macro,0.9415,False,,,
octmnist,mc_bald,auc,0.9839,False,,,
octmnist,mc_bald,ap,0.9884,False,,,
octmnist,mc_bald_diverse,acc,0.9416,False,,,
octmnist,mc_bald_diverse,f1_macro,0.9415,False,,,
octmnist,mc_bald_diverse,auc,0.9839,False,,,
octmnist,mc_bald_diverse,ap,0.9884,False,,,
octmnist,random,acc,0.9416,False,,,
octmnist,random,f1_macro,0.9415,False,,,
octmnist,random,auc,0.9839,False,,,
octmnist,random,ap,0.9884,False,,,
pathmnist,egl_fc,acc,0.9334,False,,,
pathmnist,egl_fc,f1_macro,0.9329,False,,,
pathmnist,egl_fc,auc,0.9835,False,,,
pathmnist,egl_fc,ap,0.9803,False,,,
pathmnist,entropy,acc,0.9334,False,,,
pathmnist,entropy,f1_macro,0.9329,False,,,
pathmnist,entropy,auc,0.9835,False,,,
pathmnist,entropy,ap,0.9803,False,,,
pathmnist,entropy_diverse,acc,0.9334,False,,,
pathmnist,entropy_diverse,f1_macro,0.9329,False,,,
pathmnist,entropy_diverse,auc,0.9835,False,,,
pathmnist,entropy_diverse,ap,0.9803,False,,,
pathmnist,mc_bald,acc,0.9334,False,,,
pathmnist,mc_bald,f1_macro,0.9329,False,,,
pathmnist,mc_bald,auc,0.9835,False,,,
pathmnist,mc_bald,ap,0.9803,False,,,
pathmnist,mc_bald_diverse,acc,0.9334,False,,,
pathmnist,mc_bald_diverse,f1_macro,0.9329,False,,,
pathmnist,mc_bald_diverse,auc,0.9835,False,,,
pathmnist,mc_bald_diverse,ap,0.9803,False,,,
pathmnist,random,acc,0.9334,False,,,
pathmnist,random,f1_macro,0.9329,False,,,
pathmnist,random,auc,0.9835,False,,,
pathmnist,random,ap,0.9803,False,,,
pneumoniamnist,egl_fc,acc,0.9679,True,1359.0,29.0,0.9683
pneumoniamnist,egl_fc,f1_macro,0.9571,True,1359.0,29.0,0.9589
pneumoniamnist,egl_fc,auc,0.9957,False,,,
pneumoniamnist,egl_fc,ap,0.9985,False,,,
pneumoniamnist,entropy,acc,0.9679,True,1107.0,23.0,0.9683
pneumoniamnist,entropy,f1_macro,0.9571,True,1107.0,23.0,0.9583
pneumoniamnist,entropy,auc,0.9957,False,,,
pneumoniamnist,entropy,ap,0.9985,False,,,
pneumoniamnist,entropy_diverse,acc,0.9679,True,1443.0,31.0,0.9699
pneumoniamnist,entropy_diverse,f1_macro,0.9571,True,1107.0,23.0,0.9581
pneumoniamnist,entropy_diverse,auc,0.9957,False,,,
pneumoniamnist,entropy_diverse,ap,0.9985,True,1485.0,32.0,0.9985
pneumoniamnist,mc_bald,acc,0.9679,True,1275.0,27.0,0.9683
pneumoniamnist,mc_bald,f1_macro,0.9571,True,1275.0,27.0,0.9589
pneumoniamnist,mc_bald,auc,0.9957,False,,,
pneumoniamnist,mc_bald,ap,0.9985,False,,,
pneumoniamnist,mc_bald_diverse,acc,0.9679,False,,,
pneumoniamnist,mc_bald_diverse,f1_macro,0.9571,False,,,
pneumoniamnist,mc_bald_diverse,auc,0.9957,False,,,
pneumoniamnist,mc_bald_diverse,ap,0.9985,False,,,
pneumoniamnist,random,acc,0.9679,False,,,
pneumoniamnist,random,f1_macro,0.9571,False,,,
pneumoniamnist,random,auc,0.9957,False,,,
pneumoniamnist,random,ap,0.9985,False,,,
