dataset,phase,strategy,seed,model,init_size,batch,budget,init_size_pct,budget_pct,batch_pct_of_budget,epc,final_labeled_target,step_type,step,labeled_count,split,train_loss,acc,f1_macro,auc,ap,val_mean,select_metric,is_best,tp,fp,tn,fn
octmnist,active,random,17,octmnist-final_active_best-random-init3p-batch3pb-epc5-budget30p-17.pth,2924,886,29243,3.0,30.0,3.0,5,32167,cycle,0,2924,val,0.4916,0.7798,0.7756,0.9192,0.9344,0.8522,mean,1,-1,-1,-1,-1
octmnist,active,random,17,octmnist-final_active_best-random-init3p-batch3pb-epc5-budget30p-17.pth,2924,886,29243,3.0,30.0,3.0,5,32167,cycle,1,3810,val,0.2849,0.8738,0.8736,0.9421,0.9537,0.9108,mean,1,-1,-1,-1,-1
octmnist,active,random,17,octmnist-final_active_best-random-init3p-batch3pb-epc5-budget30p-17.pth,2924,886,29243,3.0,30.0,3.0,5,32167,cycle,2,4696,val,0.2338,0.8057,0.7968,0.9489,0.9602,0.8779,mean,0,-1,-1,-1,-1
octmnist,active,random,17,octmnist-final_active_best-random-init3p-batch3pb-epc5-budget30p-17.pth,2924,886,29243,3.0,30.0,3.0,5,32167,cycle,3,5582,val,0.1941,0.7654,0.7478,0.9531,0.9634,0.8574,mean,0,-1,-1,-1,-1
octmnist,active,random,17,octmnist-final_active_best-random-init3p-batch3pb-epc5-budget30p-17.pth,2924,886,29243,3.0,30.0,3.0,5,32167,cycle,4,6468,val,0.1531,0.7761,0.762,0.9464,0.9586,0.8608,mean,0,-1,-1,-1,-1
octmnist,active,random,17,octmnist-final_active_best-random-init3p-batch3pb-epc5-budget30p-17.pth,2924,886,29243,3.0,30.0,3.0,5,32167,cycle,5,7354,val,0.1357,0.8182,0.8111,0.9496,0.9608,0.8849,mean,0,-1,-1,-1,-1
octmnist,active,random,17,octmnist-final_active_best-random-init3p-batch3pb-epc5-budget30p-17.pth,2924,886,29243,3.0,30.0,3.0,5,32167,cycle,6,8240,val,0.1135,0.8667,0.8662,0.9503,0.9638,0.9118,mean,1,-1,-1,-1,-1
octmnist,active,random,17,octmnist-final_active_best-random-init3p-batch3pb-epc5-budget30p-17.pth,2924,886,29243,3.0,30.0,3.0,5,32167,cycle,7,9126,val,0.092,0.825,0.818,0.9519,0.9563,0.8878,mean,0,-1,-1,-1,-1
octmnist,active,random,17,octmnist-final_active_best-random-init3p-batch3pb-epc5-budget30p-17.pth,2924,886,29243,3.0,30.0,3.0,5,32167,cycle,8,10012,val,0.0766,0.8657,0.8632,0.9558,0.9632,0.912,mean,1,-1,-1,-1,-1
octmnist,active,random,17,octmnist-final_active_best-random-init3p-batch3pb-epc5-budget30p-17.pth,2924,886,29243,3.0,30.0,3.0,5,32167,cycle,9,10898,val,0.0623,0.864,0.8615,0.9571,0.963,0.9114,mean,0,-1,-1,-1,-1
octmnist,active,random,17,octmnist-final_active_best-random-init3p-batch3pb-epc5-budget30p-17.pth,2924,886,29243,3.0,30.0,3.0,5,32167,cycle,10,11784,val,0.0543,0.9007,0.9007,0.964,0.9729,0.9346,mean,1,-1,-1,-1,-1
octmnist,active,random,17,octmnist-final_active_best-random-init3p-batch3pb-epc5-budget30p-17.pth,2924,886,29243,3.0,30.0,3.0,5,32167,cycle,11,12670,val,0.0503,0.8742,0.8724,0.9625,0.9717,0.9202,mean,0,-1,-1,-1,-1
octmnist,active,random,17,octmnist-final_active_best-random-init3p-batch3pb-epc5-budget30p-17.pth,2924,886,29243,3.0,30.0,3.0,5,32167,cycle,12,13556,val,0.0448,0.8909,0.8909,0.9537,0.964,0.9248,mean,0,-1,-1,-1,-1
octmnist,active,random,17,octmnist-final_active_best-random-init3p-batch3pb-epc5-budget30p-17.pth,2924,886,29243,3.0,30.0,3.0,5,32167,cycle,13,14442,val,0.0477,0.8971,0.8969,0.9586,0.9689,0.9304,mean,0,-1,-1,-1,-1
octmnist,active,random,17,octmnist-final_active_best-random-init3p-batch3pb-epc5-budget30p-17.pth,2924,886,29243,3.0,30.0,3.0,5,32167,cycle,14,15328,val,0.036,0.8998,0.8994,0.9614,0.9709,0.9329,mean,0,-1,-1,-1,-1
octmnist,active,random,17,octmnist-final_active_best-random-init3p-batch3pb-epc5-budget30p-17.pth,2924,886,29243,3.0,30.0,3.0,5,32167,cycle,15,16214,val,0.0344,0.9093,0.9093,0.9639,0.973,0.9389,mean,1,-1,-1,-1,-1
octmnist,active,random,17,octmnist-final_active_best-random-init3p-batch3pb-epc5-budget30p-17.pth,2924,886,29243,3.0,30.0,3.0,5,32167,cycle,16,17100,val,0.0474,0.9085,0.9083,0.9635,0.9728,0.9383,mean,0,-1,-1,-1,-1
octmnist,active,random,17,octmnist-final_active_best-random-init3p-batch3pb-epc5-budget30p-17.pth,2924,886,29243,3.0,30.0,3.0,5,32167,cycle,17,17986,val,0.0264,0.9074,0.9074,0.9635,0.9732,0.9379,mean,0,-1,-1,-1,-1
octmnist,active,random,17,octmnist-final_active_best-random-init3p-batch3pb-epc5-budget30p-17.pth,2924,886,29243,3.0,30.0,3.0,5,32167,cycle,18,18872,val,0.0264,0.9069,0.9069,0.9586,0.9687,0.9353,mean,0,-1,-1,-1,-1
