dataset,phase,strategy,seed,model,init_size,batch,budget,init_size_pct,budget_pct,batch_pct_of_budget,epc,final_labeled_target,step_type,step,labeled_count,split,train_loss,acc,f1_macro,auc,ap,val_mean,select_metric,is_best,tp,fp,tn,fn
bloodmnist,active,least_confident,17,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-17.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,0,120,val,0.7138,0.7401,0.4253,0.5313,0.2554,0.488,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,17,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-17.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,1,156,val,0.5316,0.7482,0.5782,0.6854,0.4365,0.6121,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,17,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-17.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,2,192,val,0.4941,0.7401,0.4253,0.6571,0.4035,0.5565,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,17,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-17.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,3,228,val,0.4368,0.7436,0.4416,0.6995,0.4785,0.5908,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,17,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-17.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,4,264,val,0.2868,0.75,0.4703,0.7543,0.5246,0.6248,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,17,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-17.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,5,300,val,0.1945,0.7617,0.5418,0.7618,0.5342,0.6499,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,17,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-17.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,6,336,val,0.1596,0.7675,0.5881,0.7645,0.5216,0.6604,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,17,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-17.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,7,372,val,0.1797,0.7436,0.4596,0.7671,0.4844,0.6137,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,17,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-17.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,8,408,val,0.1967,0.7926,0.6551,0.8256,0.6389,0.7281,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,17,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-17.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,9,444,val,0.2296,0.7004,0.6813,0.8328,0.6074,0.7054,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,17,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-17.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,10,480,val,0.2729,0.83,0.7315,0.9078,0.765,0.8086,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,17,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-17.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,11,516,val,0.2056,0.8329,0.7376,0.9162,0.771,0.8144,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,17,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-17.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,12,552,val,0.1511,0.8732,0.8295,0.9308,0.8273,0.8652,mean,1,-1,-1,-1,-1
