dataset,phase,strategy,seed,model,init_size,batch,budget,init_size_pct,budget_pct,batch_pct_of_budget,epc,final_labeled_target,step_type,step,labeled_count,split,train_loss,acc,f1_macro,auc,ap,val_mean,select_metric,is_best,tp,fp,tn,fn
octmnist,supervised,full_train_set,17,octmnist-final_supervised-supervised-17.pth,-1,-1,-1,-1,-1,-1,-1,-1,epoch,1,97477,val,0.3066,0.5788,0.5143,0.9419,0.9522,0.7468,mean,1,-1,-1,-1,-1
octmnist,supervised,full_train_set,17,octmnist-final_supervised-supervised-17.pth,-1,-1,-1,-1,-1,-1,-1,-1,epoch,2,97477,val,0.2511,0.9154,0.9153,0.9706,0.9786,0.945,mean,1,-1,-1,-1,-1
octmnist,supervised,full_train_set,17,octmnist-final_supervised-supervised-17.pth,-1,-1,-1,-1,-1,-1,-1,-1,epoch,3,97477,val,0.2116,0.9232,0.9232,0.9739,0.9809,0.9503,mean,1,-1,-1,-1,-1
octmnist,supervised,full_train_set,17,octmnist-final_supervised-supervised-17.pth,-1,-1,-1,-1,-1,-1,-1,-1,epoch,4,97477,val,0.2007,0.927,0.927,0.9767,0.9829,0.9534,mean,1,-1,-1,-1,-1
octmnist,supervised,full_train_set,17,octmnist-final_supervised-supervised-17.pth,-1,-1,-1,-1,-1,-1,-1,-1,epoch,5,97477,val,0.1972,0.8603,0.8565,0.9761,0.9827,0.9189,mean,0,-1,-1,-1,-1
octmnist,supervised,full_train_set,17,octmnist-final_supervised-supervised-17.pth,-1,-1,-1,-1,-1,-1,-1,-1,epoch,6,97477,val,0.1839,0.9253,0.9253,0.9777,0.9836,0.953,mean,0,-1,-1,-1,-1
octmnist,supervised,full_train_set,17,octmnist-final_supervised-supervised-17.pth,-1,-1,-1,-1,-1,-1,-1,-1,epoch,7,97477,val,0.1737,0.9306,0.9305,0.978,0.9839,0.9558,mean,1,-1,-1,-1,-1
octmnist,supervised,full_train_set,17,octmnist-final_supervised-supervised-17.pth,-1,-1,-1,-1,-1,-1,-1,-1,epoch,8,97477,val,0.1659,0.9297,0.9296,0.978,0.9841,0.9554,mean,0,-1,-1,-1,-1
octmnist,supervised,full_train_set,17,octmnist-final_supervised-supervised-17.pth,-1,-1,-1,-1,-1,-1,-1,-1,epoch,9,97477,val,0.1702,0.9018,0.9005,0.9784,0.9842,0.9412,mean,0,-1,-1,-1,-1
octmnist,supervised,full_train_set,17,octmnist-final_supervised-supervised-17.pth,-1,-1,-1,-1,-1,-1,-1,-1,epoch,10,97477,val,0.1549,0.8809,0.8784,0.9793,0.9844,0.9307,mean,0,-1,-1,-1,-1
octmnist,supervised,full_train_set,17,octmnist-final_supervised-supervised-17.pth,-1,-1,-1,-1,-1,-1,-1,-1,epoch,11,97477,val,0.1704,0.911,0.9109,0.9808,0.9859,0.9472,mean,0,-1,-1,-1,-1
octmnist,supervised,full_train_set,17,octmnist-final_supervised-supervised-17.pth,-1,-1,-1,-1,-1,-1,-1,-1,epoch,12,97477,val,0.1444,0.9406,0.9405,0.9828,0.9876,0.9629,mean,1,-1,-1,-1,-1
octmnist,supervised,full_train_set,17,octmnist-final_supervised-supervised-17.pth,-1,-1,-1,-1,-1,-1,-1,-1,epoch,13,97477,val,0.1372,0.926,0.926,0.9825,0.9871,0.9554,mean,0,-1,-1,-1,-1
octmnist,supervised,full_train_set,17,octmnist-final_supervised-supervised-17.pth,-1,-1,-1,-1,-1,-1,-1,-1,epoch,14,97477,val,0.1324,0.9354,0.9352,0.9802,0.9852,0.959,mean,0,-1,-1,-1,-1
